Ticker,close,date,high,low,month,open,volume,sector
MARUTI,10346.9,2023-10-03 05:30:00,10709.8,10303.3,2023-10,10709.8,623006,AUTOMOBILES
MARUTI,10129.8,2023-10-04 05:30:00,10283.9,10090.0,2023-10,10283.9,407793,AUTOMOBILES
MARUTI,10210.2,2023-10-05 05:30:00,10271.0,10109.0,2023-10,10182.0,377196,AUTOMOBILES
MARUTI,10302.0,2023-10-06 05:30:00,10333.0,10260.0,2023-10,10283.0,335700,AUTOMOBILES
MARUTI,10244.8,2023-10-09 05:30:00,10334.4,10184.0,2023-10,10250.0,230083,AUTOMOBILES
MARUTI,10375.0,2023-10-10 05:30:00,10417.0,10270.1,2023-10,10290.0,348342,AUTOMOBILES
MARUTI,10412.1,2023-10-11 05:30:00,10440.0,10340.0,2023-10,10350.0,193526,AUTOMOBILES
MARUTI,10580.9,2023-10-12 05:30:00,10624.5,10420.2,2023-10,10460.0,569237,AUTOMOBILES
MARUTI,10727.5,2023-10-13 05:30:00,10745.0,10529.8,2023-10,10534.0,625954,AUTOMOBILES
MARUTI,10704.5,2023-10-16 05:30:00,10810.8,10665.0,2023-10,10730.0,304196,AUTOMOBILES
MARUTI,10750.8,2023-10-17 05:30:00,10797.8,10565.3,2023-10,10730.0,474718,AUTOMOBILES
MARUTI,10788.5,2023-10-18 05:30:00,10809.8,10711.0,2023-10,10755.0,267435,AUTOMOBILES
MARUTI,10771.7,2023-10-19 05:30:00,10798.7,10700.0,2023-10,10700.0,286284,AUTOMOBILES
MARUTI,10725.7,2023-10-20 05:30:00,10799.0,10695.7,2023-10,10763.1,232512,AUTOMOBILES
MARUTI,10553.7,2023-10-23 05:30:00,10724.7,10530.5,2023-10,10681.0,227925,AUTOMOBILES
MARUTI,10588.8,2023-10-25 05:30:00,10647.5,10501.6,2023-10,10520.0,401105,AUTOMOBILES
MARUTI,10424.2,2023-10-26 05:30:00,10594.0,10392.5,2023-10,10539.0,506129,AUTOMOBILES
MARUTI,10560.7,2023-10-27 05:30:00,10845.0,10440.0,2023-10,10440.0,1116713,AUTOMOBILES
MARUTI,10397.7,2023-10-30 05:30:00,10700.0,10245.0,2023-10,10700.0,991168,AUTOMOBILES
MARUTI,10392.3,2023-10-31 05:30:00,10490.0,10321.0,2023-10,10490.0,439996,AUTOMOBILES
