Ticker,close,date,high,low,month,open,volume,sector
TCS,3513.85,2023-10-03 05:30:00,3534.2,3480.1,2023-10,3534.2,1948148,SOFTWARE
TCS,3537.75,2023-10-04 05:30:00,3548.0,3477.3,2023-10,3486.3,1788138,SOFTWARE
TCS,3589.35,2023-10-05 05:30:00,3624.0,3551.2,2023-10,3554.0,2990768,SOFTWARE
TCS,3621.4,2023-10-06 05:30:00,3634.95,3575.05,2023-10,3591.0,2075691,SOFTWARE
TCS,3638.35,2023-10-09 05:30:00,3679.0,3631.0,2023-10,3645.05,4233074,SOFTWARE
TCS,3628.9,2023-10-10 05:30:00,3648.0,3601.35,2023-10,3640.05,1848148,SOFTWARE
TCS,3609.9,2023-10-11 05:30:00,3650.0,3605.0,2023-10,3650.0,2426417,SOFTWARE
TCS,3542.55,2023-10-12 05:30:00,3588.65,3538.1,2023-10,3575.0,4241281,SOFTWARE
TCS,3570.85,2023-10-13 05:30:00,3577.0,3525.0,2023-10,3530.0,2890357,SOFTWARE
TCS,3524.05,2023-10-16 05:30:00,3574.65,3519.1,2023-10,3566.0,1671104,SOFTWARE
TCS,3507.05,2023-10-17 05:30:00,3534.15,3503.35,2023-10,3530.0,1672065,SOFTWARE
TCS,3487.25,2023-10-18 05:30:00,3522.7,3484.0,2023-10,3511.0,1408245,SOFTWARE
TCS,3455.65,2023-10-19 05:30:00,3476.85,3451.9,2023-10,3469.5,1514545,SOFTWARE
TCS,3494.55,2023-10-20 05:30:00,3499.5,3444.05,2023-10,3450.4,1481211,SOFTWARE
TCS,3410.15,2023-10-23 05:30:00,3478.95,3401.3,2023-10,3473.0,1106272,SOFTWARE
TCS,3390.1,2023-10-25 05:30:00,3425.0,3377.2,2023-10,3390.5,1518537,SOFTWARE
TCS,3336.75,2023-10-26 05:30:00,3373.7,3330.0,2023-10,3368.05,1984471,SOFTWARE
TCS,3350.95,2023-10-27 05:30:00,3362.0,3337.0,2023-10,3350.0,1108851,SOFTWARE
TCS,3378.55,2023-10-30 05:30:00,3382.85,3333.75,2023-10,3350.0,910972,SOFTWARE
TCS,3368.75,2023-10-31 05:30:00,3399.0,3350.05,2023-10,3399.0,999811,SOFTWARE
TCS,3330.65,2023-11-01 05:30:00,3371.6,3311.0,2023-11,3355.0,1563475,SOFTWARE
TCS,3360.1,2023-11-02 05:30:00,3375.95,3343.2,2023-11,3343.2,1245384,SOFTWARE
TCS,3350.9,2023-11-03 05:30:00,3387.9,3344.3,2023-11,3382.0,1402598,SOFTWARE
TCS,3380.25,2023-11-06 05:30:00,3392.3,3359.0,2023-11,3375.0,1099852,SOFTWARE
TCS,3370.45,2023-11-07 05:30:00,3404.15,3366.0,2023-11,3378.0,1191144,SOFTWARE
TCS,3381.55,2023-11-08 05:30:00,3401.95,3369.55,2023-11,3371.45,992899,SOFTWARE
TCS,3347.45,2023-11-09 05:30:00,3391.5,3342.05,2023-11,3390.1,2112352,SOFTWARE
TCS,3333.45,2023-11-10 05:30:00,3347.45,3322.35,2023-11,3338.0,1338557,SOFTWARE
TCS,3357.3,2023-11-12 05:30:00,3359.0,3345.0,2023-11,3350.0,173346,SOFTWARE
TCS,3331.55,2023-11-13 05:30:00,3356.0,3327.0,2023-11,3356.0,1030990,SOFTWARE
TCS,3404.3,2023-11-15 05:30:00,3413.0,3356.05,2023-11,3383.1,2059802,SOFTWARE
TCS,3497.85,2023-11-16 05:30:00,3529.35,3414.2,2023-11,3430.05,3951984,SOFTWARE
TCS,3502.45,2023-11-17 05:30:00,3524.5,3492.55,2023-11,3497.85,2021292,SOFTWARE
TCS,3519.6,2023-11-20 05:30:00,3533.9,3491.25,2023-11,3491.25,1475621,SOFTWARE
TCS,3510.2,2023-11-21 05:30:00,3539.05,3501.0,2023-11,3519.6,1807236,SOFTWARE
TCS,3530.15,2023-11-22 05:30:00,3532.65,3481.1,2023-11,3500.0,1798051,SOFTWARE
TCS,3508.25,2023-11-23 05:30:00,3544.0,3500.0,2023-11,3530.0,2729804,SOFTWARE
TCS,3457.1,2023-11-24 05:30:00,3504.55,3453.0,2023-11,3494.25,1989733,SOFTWARE
TCS,3470.15,2023-11-28 05:30:00,3481.25,3433.0,2023-11,3457.1,1689195,SOFTWARE
TCS,3513.75,2023-11-29 05:30:00,3518.0,3475.8,2023-11,3481.0,1441634,SOFTWARE
TCS,3487.6,2023-11-30 05:30:00,3516.65,3481.0,2023-11,3499.45,3266235,SOFTWARE
TCS,3511.65,2023-12-01 05:30:00,3516.95,3490.05,2023-12,3500.0,1172141,SOFTWARE
TCS,3512.45,2023-12-04 05:30:00,3547.8,3498.0,2023-12,3544.65,1625213,SOFTWARE
TCS,3531.6,2023-12-05 05:30:00,3538.0,3502.8,2023-12,3538.0,1377656,SOFTWARE
TCS,3604.1,2023-12-06 05:30:00,3612.85,3525.15,2023-12,3532.6,1896572,SOFTWARE
TCS,3614.9,2023-12-07 05:30:00,3630.55,3591.7,2023-12,3605.0,1967653,SOFTWARE
TCS,3626.7,2023-12-08 05:30:00,3645.0,3602.05,2023-12,3633.0,1641155,SOFTWARE
TCS,3642.9,2023-12-11 05:30:00,3653.0,3615.0,2023-12,3622.9,1102503,SOFTWARE
TCS,3672.1,2023-12-12 05:30:00,3698.4,3631.0,2023-12,3638.95,2236866,SOFTWARE
TCS,3593.55,2023-12-13 05:30:00,3650.0,3563.0,2023-12,3643.55,3850968,SOFTWARE
TCS,3667.25,2023-12-14 05:30:00,3678.0,3627.6,2023-12,3630.0,3290396,SOFTWARE
TCS,3861.0,2023-12-15 05:30:00,3895.95,3666.7,2023-12,3666.7,8531230,SOFTWARE
TCS,3859.2,2023-12-18 05:30:00,3929.0,3830.15,2023-12,3858.1,2521612,SOFTWARE
TCS,3816.2,2023-12-19 05:30:00,3855.1,3790.0,2023-12,3845.0,2004435,SOFTWARE
TCS,3780.05,2023-12-20 05:30:00,3898.8,3766.55,2023-12,3827.25,2586083,SOFTWARE
TCS,3787.5,2023-12-21 05:30:00,3806.7,3743.35,2023-12,3756.25,1517562,SOFTWARE
TCS,3824.0,2023-12-22 05:30:00,3845.95,3762.0,2023-12,3800.0,2413058,SOFTWARE
TCS,3795.55,2023-12-26 05:30:00,3834.0,3790.15,2023-12,3819.85,1285231,SOFTWARE
TCS,3811.2,2023-12-27 05:30:00,3818.2,3768.0,2023-12,3799.0,1293976,SOFTWARE
TCS,3799.9,2023-12-28 05:30:00,3838.0,3792.1,2023-12,3824.0,1682889,SOFTWARE
TCS,3793.4,2023-12-29 05:30:00,3822.6,3765.4,2023-12,3792.0,1574996,SOFTWARE
TCS,3811.1,2024-01-01 05:30:00,3832.0,3773.0,2024-01,3790.0,825907,SOFTWARE
TCS,3783.2,2024-01-02 05:30:00,3811.1,3767.25,2024-01,3811.1,1344068,SOFTWARE
TCS,3691.75,2024-01-03 05:30:00,3771.85,3687.05,2024-01,3767.0,1803075,SOFTWARE
TCS,3666.8,2024-01-04 05:30:00,3719.0,3651.0,2024-01,3701.75,3598144,SOFTWARE
TCS,3737.9,2024-01-05 05:30:00,3747.75,3674.85,2024-01,3675.0,1963127,SOFTWARE
TCS,3678.3,2024-01-08 05:30:00,3739.75,3672.4,2024-01,3737.9,1067805,SOFTWARE
TCS,3689.9,2024-01-09 05:30:00,3752.35,3682.75,2024-01,3709.95,1370944,SOFTWARE
TCS,3713.05,2024-01-10 05:30:00,3729.25,3688.0,2024-01,3690.0,1292227,SOFTWARE
