Ticker,close,date,high,low,month,open,volume,sector
COALINDIA,291.9,2023-10-03 05:30:00,297.1,290.1,2023-10,297.05,9348540,MINING
COALINDIA,287.95,2023-10-04 05:30:00,291.5,285.9,2023-10,290.8,6338888,MINING
COALINDIA,289.35,2023-10-05 05:30:00,290.55,283.9,2023-10,288.8,8687014,MINING
COALINDIA,287.8,2023-10-06 05:30:00,291.0,287.0,2023-10,290.95,3741467,MINING
COALINDIA,287.8,2023-10-09 05:30:00,288.95,283.05,2023-10,286.05,4647845,MINING
COALINDIA,303.25,2023-10-10 05:30:00,303.9,287.8,2023-10,288.25,23283411,MINING
COALINDIA,301.85,2023-10-11 05:30:00,305.0,299.45,2023-10,304.55,12321154,MINING
COALINDIA,307.2,2023-10-12 05:30:00,309.1,301.9,2023-10,302.55,15375295,MINING
COALINDIA,307.95,2023-10-13 05:30:00,310.85,304.45,2023-10,305.0,9516879,MINING
COALINDIA,312.0,2023-10-16 05:30:00,313.65,306.55,2023-10,307.85,10535107,MINING
COALINDIA,317.4,2023-10-17 05:30:00,318.35,312.1,2023-10,313.0,7760527,MINING
COALINDIA,316.95,2023-10-18 05:30:00,319.75,315.25,2023-10,317.35,9662837,MINING
COALINDIA,314.8,2023-10-19 05:30:00,315.7,308.85,2023-10,315.3,8977527,MINING
COALINDIA,312.4,2023-10-20 05:30:00,316.7,309.6,2023-10,312.5,6009115,MINING
COALINDIA,306.1,2023-10-23 05:30:00,312.85,305.0,2023-10,312.55,8086150,MINING
COALINDIA,310.3,2023-10-25 05:30:00,312.7,305.0,2023-10,306.1,7253336,MINING
COALINDIA,305.25,2023-10-26 05:30:00,309.15,302.9,2023-10,309.15,8329092,MINING
COALINDIA,313.95,2023-10-27 05:30:00,317.15,306.0,2023-10,306.0,10503070,MINING
COALINDIA,314.55,2023-10-30 05:30:00,315.8,311.95,2023-10,315.0,6229982,MINING
COALINDIA,314.25,2023-10-31 05:30:00,316.8,310.75,2023-10,316.75,7446586,MINING
COALINDIA,306.65,2023-11-01 05:30:00,315.8,305.85,2023-11,313.2,9593653,MINING
COALINDIA,308.85,2023-11-02 05:30:00,312.8,307.3,2023-11,308.95,7071960,MINING
COALINDIA,312.0,2023-11-03 05:30:00,314.7,310.3,2023-11,310.6,4658440,MINING
COALINDIA,316.55,2023-11-06 05:30:00,319.55,313.0,2023-11,313.2,10340818,MINING
COALINDIA,314.25,2023-11-07 05:30:00,318.8,313.65,2023-11,316.5,6826885,MINING
COALINDIA,317.4,2023-11-08 05:30:00,318.15,314.55,2023-11,316.0,6424833,MINING
COALINDIA,323.55,2023-11-09 05:30:00,324.5,315.7,2023-11,318.45,15503280,MINING
COALINDIA,323.4,2023-11-10 05:30:00,326.15,321.55,2023-11,324.45,8445203,MINING
COALINDIA,331.8,2023-11-12 05:30:00,336.7,328.25,2023-11,330.0,10263484,MINING
COALINDIA,349.35,2023-11-13 05:30:00,350.0,330.3,2023-11,333.0,42178783,MINING
COALINDIA,350.6,2023-11-15 05:30:00,359.0,348.6,2023-11,359.0,35092206,MINING
