Ticker,close,date,high,low,month,open,volume,sector
TATAMOTORS,620.45,2023-10-03 05:30:00,632.65,618.6,2023-10,632.6,6894577,AUTOMOBILES
TATAMOTORS,613.6,2023-10-04 05:30:00,620.8,608.3,2023-10,620.8,7612709,AUTOMOBILES
TATAMOTORS,619.6,2023-10-05 05:30:00,621.35,614.65,2023-10,619.0,7893892,AUTOMOBILES
TATAMOTORS,622.45,2023-10-06 05:30:00,627.35,620.0,2023-10,627.0,7922379,AUTOMOBILES
TATAMOTORS,617.35,2023-10-09 05:30:00,622.0,613.7,2023-10,620.8,6381189,AUTOMOBILES
TATAMOTORS,630.55,2023-10-10 05:30:00,632.5,617.6,2023-10,620.0,9833429,AUTOMOBILES
TATAMOTORS,634.0,2023-10-11 05:30:00,637.8,632.6,2023-10,633.0,7701931,AUTOMOBILES
TATAMOTORS,636.95,2023-10-12 05:30:00,640.2,635.05,2023-10,637.0,5928732,AUTOMOBILES
TATAMOTORS,667.1,2023-10-13 05:30:00,669.0,633.0,2023-10,633.95,28011678,AUTOMOBILES
TATAMOTORS,666.2,2023-10-16 05:30:00,677.8,661.25,2023-10,668.55,20005816,AUTOMOBILES
TATAMOTORS,655.7,2023-10-17 05:30:00,670.9,654.65,2023-10,670.0,10263992,AUTOMOBILES
TATAMOTORS,668.5,2023-10-18 05:30:00,672.25,653.8,2023-10,658.6,14908778,AUTOMOBILES
TATAMOTORS,668.8,2023-10-19 05:30:00,672.3,658.6,2023-10,662.95,10633043,AUTOMOBILES
TATAMOTORS,663.2,2023-10-20 05:30:00,676.4,660.5,2023-10,666.65,11759568,AUTOMOBILES
TATAMOTORS,647.35,2023-10-23 05:30:00,667.25,645.0,2023-10,663.65,8564004,AUTOMOBILES
TATAMOTORS,637.85,2023-10-25 05:30:00,651.9,636.05,2023-10,650.0,8229559,AUTOMOBILES
TATAMOTORS,626.55,2023-10-26 05:30:00,635.65,624.15,2023-10,635.0,8889373,AUTOMOBILES
TATAMOTORS,641.05,2023-10-27 05:30:00,643.95,628.45,2023-10,630.0,10232856,AUTOMOBILES
TATAMOTORS,628.5,2023-10-30 05:30:00,643.8,621.85,2023-10,643.8,12786883,AUTOMOBILES
TATAMOTORS,628.65,2023-10-31 05:30:00,642.0,627.3,2023-10,642.0,11395766,AUTOMOBILES
TATAMOTORS,627.7,2023-11-01 05:30:00,633.8,626.3,2023-11,630.0,8785264,AUTOMOBILES
TATAMOTORS,636.45,2023-11-02 05:30:00,638.2,630.1,2023-11,632.0,9934305,AUTOMOBILES
TATAMOTORS,647.5,2023-11-03 05:30:00,666.0,646.2,2023-11,662.0,23087856,AUTOMOBILES
TATAMOTORS,646.05,2023-11-06 05:30:00,652.85,643.2,2023-11,652.85,10801301,AUTOMOBILES
TATAMOTORS,645.0,2023-11-07 05:30:00,649.9,643.3,2023-11,645.0,6588073,AUTOMOBILES
