Company1,company2,correlation_value
JSWSTEEL,TATASTEEL,0.79418913
BAJAJFINSV,BAJFINANCE,0.748722748
NTPC,POWERGRID ,0.711822688
INFY, TCS,0.707884175
HCLTECH,INFY,0.689740003
INFY,TECHM,0.649145761
COALINDIA,ONGC,0.647817823
AXISBANK,ICICIBANK,0.636786071
HINDALCO,TATASTEEL,0.630099283
HCLTECH,TCS,0.629079422
